id,title,tagline,highlight_image,reference_image,duration_by_day,duration_by_night,spesific_gender,wellness_package_content,included,hospital_name,hotel_name,status,price
1,Urban Serenity Staycation – Grand Mercure,Find calm in the heart of the city.,,,,,Both,,,Persada Hospital,EPISODE Hotel by. JHL Collections,DRAFT,
2,Jawa Heritage Slumber – Hotel Tugu,Sleep with stories of the past.,,,,,Both,,,,,OPEN,
3,Botanical Calm Night – Harris,Where greenery meets deep rest.,,,,,Both,,,,,CLOSE,
4,Kayutangan Heritage Walk,"Step into history, breathe in tranquility.",,,,,,,,,,,
5,Nordic Elderway Malang,Age strong with Scandinavian simplicity.,,,,,,,,,,,
6,Gym & Silver Age Fitness,Move smart. Age powerful.,,,,,,,,,,,
7,5K RUN MALANG,"Run light, feel alive.",,,,,,,,,,,
8,City Jogging Track Tour - Alun-Alun Malang,"Discover the city, one stride at a time.",,,,,,,,,,,
9,Aerobic & Zumba Festival - Taman Merjosari,"Energy rising, spirits glowing.",,,,,,,,,,,
10,Art Mindfulness Therapy,Create to heal.,,,,,,,,,,,
11,Sensory Detox – Taman Slamet,"Quiet the senses, soften the mind.",,,,,,,,,,,
12,Creative Wellness – Kampung Warna Warni Jodipan,Heal through colors and joy.,,,,,,,,,,,
13,Counseling & Self-Healing,"A space to breathe, reflect, renew.",,,,,,,,,,,
14,Weight Loss Program – RS Persada,"Science-led progress, sustainable change.",,,,,,,,,,,
15,Culinary Diet Mapping,"Know your plate, shape your path.",,,,,,,,,,,
16,Highland Hydration Plan,Replenish where the air feels pure.,,,,,,,,,,,
17,Ngadas Highland Sleep Retreat,Rest above the clouds.,,,,,,,,,,,
18,Forest Sound Healing – TNBTS,Let the forest tune your inner calm.,,,,,,,,,,,
19,Lembah Sriti Calm Night,Stillness that stays with you.,,,,,,,,,,,
20,Hot Spring Reset – Cangar,"Soak, release, rebalance.",,,,,,,,,,,
21,Village Rest – Poncokusumo,Find peace in simple living.,,,,,,,,,,,
22,Lakeside Deep Relax Sleep - Bendungan Karangkates,Sleep by the still water.,,,,,,,,,,,
23,Bromo Sunrise Hike,Rise with the sacred dawn.,,,,,,,,,,,
24,Donomulyo Beach Jog,Run where waves meet wind.,,,,,,,,,,,
25,Tumpak Sewu Trek,Chase the roar of the falls.,,,,,,,,,,,
26,Poncokusumo Soft Hike,"Gentle paths, grounded steps.",,,,,,,,,,,
27,Sawah Cycling – Kepanjen,Pedal through emerald calm.,,,,,,,,,,,
28,Bromo Mindfulness Sunrise,Meet the morning with intention.,,,,,,,,,,,
29,Tumpak Sewu Reflection,Let the waterfall quiet your mind.,,,,,,,,,,,
30,Ngadas Community Healing,Heal with the warmth of people.,,,,,,,,,,,
31,Balekambang Grounding,Reconnect with earth and ocean.,,,,,,,,,,,
32,Wagir Disconnect Retreat,Unplug. Unwind. Understand yourself.,,,,,,,,,,,
33,Beach Stress Release - Pantai Kondang Merak,Lose stress to the sea breeze.,,,,,,,,,,,
34,Apple Orchard Detox,Fresh air. Fresh body. Fresh mind.,,,,,,,,,,,
35,Village Organic Cooking – Wajak,"Cook local, live wholesome.",,,,,,,,,,,
36,High-Fiber Javanese Reset,"Gut-friendly, heritage-powered.",,,,,,,,,,,
37,Herbal Farm Detox – Taji,"Herbs for balance, nature for clarity.",,,,,,,,,,,
38,Low-Cal Seafood – Balekambang,Light meals by the coast.,,,,,,,,,,,
39,Highlands Cabin Calm at Pagupon Camp,Breathe deeper in mountain silence.,,,,,,,,,,,
40,Jatim Park Wellness Stay,"Play, learn, and recharge.",,,,,,,,,,,
41,Batu Night Meditation Lodge,Silence meets starlight.,,,,,,,,,,,
42,Batu Cycling Loop,Ride the cool mountain breeze.,,,,,,,,,,,
43,Selecta Steps Challenge,Climb toward a healthier you.,,,,,,,,,,,
44,Batu Light Trek,A gentle trail to clear the mind.,,,,,,,,,,,
45,Apple Farm Jogging,Run among orchard scents.,,,,,,,,,,,
46,Batu 5K Run,Speed through the highlands.,,,,,,,,,,,
47,Flower Garden Reflection,Bloom with inner peace.,,,,,,,,,,,
48,Kanana Meditation,Stillness in every breath.,,,,,,,,,,,
49,Selecta Botanical Healing,"Let nature soothe, petal by petal.",,,,,,,,,,,
50,Batu Creative Art Therapy,Let creativity become your calm.,,,,,,,,,,,
51,Paralayang View Gratitude,Find gratitude above the clouds.,,,,,,,,,,,
52,Highland Detox Meal,"Clean eating, mountain-fresh.",,,,,,,,,,,
53,Apple Diet Program,"Light, crisp, nourishing.",,,,,,,,,,,
54,Organic Vegetable Meal – Bumiaji,"Pure flavors, pure benefits.",,,,,,,,,,,
55,Healthy Bento Class,Pack wellness into every bite.,,,,,,,,,,,
56,Hydration Boost – Springs,Drink from the source of clarity.,,,,,,,,,,,